id,text,label
18,"Lions prepare for Vick, Falcons While many of his Detroit Lions teammates spent the bye weekend at home with their families, Harrington stayed in town to see his brother play college football.",1
19,"Sox will fight to the finish for division Maybe this is all you need to know about the determination on Yawkey Way to overtake the Yankees in the American League East: Nearly a month before the regular season ends, Red Sox starters were told to prepare to wage an all-out effort in the four-game series that ends the season in Baltimore.",1
20,"Hollinger report filed in court TORONTO -- A special committee of Hollinger International, which was instrumental in ousting Conrad Black as head of the Chicago-based newspaper company, filed its final report in an Illinois court yesterday.",2
21,Sun Micro Revises Net Down -Filing Network computer maker Sun Microsystems Inc. revised its most recently reported quarterly results slightly lower due to the finalized legal settlement with Microsoft Corp.,2
22,"Asia Stocks, Oil Rise; Dollar Firm (Reuters) Reuters - Asian stocks were mostly higher on\Monday, led by electronics and telecoms firms, while oil\extended gains and the dollar edged up ahead of an expected\U.S. Federal Reserve interest rate rise on Tuesday.",2
23,"Soaring oil 'hits world economy' The soaring cost of oil hits global economic growth, although recovery is not a distant prospect, according to the OECD.",2
24,"Nash, others look good in their new digs American novelist Thomas Wolfe once wrote a book entitled  quot;You Can #39;t Go Home Again. quot; His argument was that once the door to an era closes, it could never be opened again.",1
25,Pen Trick on Bike Locks Could Cost Firms Millions on Friday sought a recall of many U-shaped locks after word spread that an ordinary pen could pick what had been thought to be some of the toughest locks.,2
26,Microsoft Releases Systems Management Server 2003 SP1 Microsoft released its first service pack for Systems Management Server 2003 with support for Windows XP SP2 and Virtual Server 2005.,3
27,"September Retail Sales Up by 1.5 Percent The rise in retail sales was the best showing since March. Also, producer prices rose 0.1 percent in September.",2
28,"Oil Troublesome Says a Fed President  WASHINGTON (Reuters) - Record oil prices are creating  headwinds for the U.S. economy but do not place its recovery at  risk, Dallas Federal Reserve Bank President Robert McTeer said  on Monday.",2
29,"Jaguar and Ford Pull Out of Formula One  LONDON (Reuters) - Jaguar will pull out of Formula One at  the end of 2004, with parent company Ford's engine maker  Cosworth also up for sale.",1
30,"Bird Bounces Monarchs Nursing a repaired nose, Sue Bird has 10 points and 14 assists to lead the Seattle Storm to the WNBA finals with an 82-62 win over the Sacramento Monarchs on Tuesday.",1
31,Bank of England policymakers meet; no change seen on interest rates (AFP) AFP - The Bank of England's rate-setting Monetary Policy Committee (MPC) began its two-day monthly meeting amid broad expectation that interest rates will be left unchanged due to signs of economic slowdown.,2
32,"Supermarket chain Morrison sells 114 stores (AFP) AFP - William Morrison, the fourth largest grocery chain, said it had agreed to sell 114 stores to rival Somerfield for 260 million pounds.",0
33,"Bush Mocks Kerry for 'Changing Positions' on Iraq (Reuters) Reuters - President Bush on Monday\mocked his Democratic rival John Kerry for shifting his\positions on Iraq so many times he could ""debate himself"" in\this week's face-off between the two candidates.",0
34,"Ichiro Raps Five Hits The hits just keep on comin' for Ichiro Suzuki. Suzuki collects five hits in the Mariners' 7-3 victory over the Angels on Saturday night, pulling him 14 hits shy of the season record of 257.",1
35,"Sport #39;s hottest property, a collapsed trial, and the seedy world &lt;b&gt;...&lt;/b&gt; When the football agent Paul Stretford hid a camera behind a hotel coffee-machine before a business meeting last year, he planned to reveal a campaign of bullying and blackmail ",1
36,"Rock-Tenn to Close Minn. Plant Rock-Tenn Co. on Friday said it will shutter its St. Paul, Minn., folding carton plant in December, which will eliminate jobs and result in financial charges.",2
37,"HYDROGEN MILESTONE Turning water into hydrogen energy... A major R  amp; D milestone could help the nation advance toward a clean hydrogen economy. It #39;s a project the INEEL and a Salt Lake ceramics company are collaborating on, using ",3
38,"Prince Harry: The Prince and the Paparazzi Henry Charles Albert David (that #39;s Sir to you, and Harry to the press) is a very angry young man. He has been hunted down by a new breed of press photographer and riled by accusations of cheating in his A-levels.",0
39,Siemens adds Flash-OFDM to broadband wireless family German engineering and manufacturing company Siemens will add more broadband technology to its growing portfolio of new high-speed wireless systems slated for delivery early next year.,3
40,The Talk Shows  &lt;em&gt;  Guests to be interviewed today on major television talk shows:&lt;/em&gt;,0
41,"Diamondbacks Fire Backman After Four Days (AP) AP - After just four days on the job, Wally Backman was fired Friday as manager of the Arizona Diamondbacks because of two arrests and financial problems he kept from the team.",1
42,"Rwandans hope Darfur presence will halt violence EL FASHER, Sudan -- As the sun set over this desert camp, Private Lambert Sendegeya, an African Union soldier from Rwanda, popped in a tape of music from his country and launched into a series of leg bends. Lieutenant Eugene Ruzianda peered from his canvas tent and, removing his green beret, joined the evening exercises.",0
43,Salmond in fishing policy demand Alex Salmond is to deliver a petition calling on the UK to withdraw from the Common Fisheries Policy.,3
44,Circuit City Sales Trail Estimates (Reuters) Reuters - Circuit City Stores Inc.  on\Tuesday reported a 2.9 percent gain in quarterly same-store\sales but its growth lagged estimates due to a calendar shift\and reduced spending through August.,2
45,"MARKET AS UNRELIABLE AS THE POLLS THIS past week will go down as one of the most shocking in the annals of modern American history - a once-in-a generation election, when the most powerful and prescient prognosticator known to man, got it all wrong.",2
46,NHL Lockout a Virtual Certainty Thursday (AP) AP - Wade Redden took off his practice gear unsure of when he'd have a chance to put it on again. His injured shoulder wouldn't allow him to play for Canada in the World Cup of Hockey championship on Tuesday night. The lack of a collective bargaining agreement between NHL players and owners figures to keep the Ottawa defenseman off the ice much longer.,1
47,"Spike in oil prices will impact on US economy: Fed official A senior US Federal Reserve official said Thursday the recent spike in oil prices would almost certainly impact on the US economy, although it may not be as significant as the shocks of the 1970s and 1980s.",2
48,"Philippines Rushes Relief to Flooded Areas  GENERAL NAKAR, Philippines (Reuters) - Philippine troops  rushed food and drinking water by foot and helicopters on  Sunday to areas cut off by four storms that left more than  1,300 people dead or missing as residents scrambled to flee the  region.",0
49,"IBM to Buy Content Management Developer Venetica IBM on Thursday agreed to acquire Venetica Corp., a maker of content integration software that allows enterprises to access and embed unstructured data including business documents, e-mail, digital media, still images, and Web pages.",3
50,"Greenberg son  #39;to stand down at Marsh #39; Jeffrey Greenberg, the chief executive of Marsh  amp; McLennan, the insurance broker accused of rigging the market to make inappropriate fees from customers, was yesterday expected ",2
51,"28,000 lives may be about to change ALEXANDRIA, Va. -- Sitting at the front of US Bankruptcy Court, surrounded by US Airways #39; managers and high-priced lawyers, Chief Executive Officer Bruce Lakefield looked nervous, almost embarrassed.",2
52,"Woods looks like he #39;ll stay No. 1 _ for now Stewart Cink was atop the leaderboard, and David Toms had the lead in the clubhouse. But with only 24 players completing second-round play in the rain-delayed NEC Invitational, it was hard to tell who had control. ",1
53,"Afghanistan Death Toll in 2004 Up to 957 KANDAHAR, Afghanistan - The killing in Afghanistan spirals onward, undermining U.S. claims of success in pacifying the country with less than a week to go before an historic experiment with democracy - direct presidential elections...",0
54,"Payments for retirees  #39;will strain US economy #39; WASHINGTON: An ageing US population will strain public finances and hurt the economy without swift fixes to the social safety net, such as raising the age for full retirement benefits, Federal Reserve Chairman Alan Greenspan said yesterday.",2
55,"Behind Enemy Lines: Advice From a Partisan A Republican on how to survive in a Democratic town: This really is the greatest city in the world, but you are now behind enemy lines.",0
56,"Intel updates Itanium 2 line Intel on Monday updated its Itanium 2 processors, adding a top-end model to a high-end family designed to displace chips from Sun Microsystems and IBM.",3
57,Cazenove in JP Morgan deal Cazenove and JP Morgan Chase have unveiled a joint venture that effectively ends 181 years of independence for the UK stockbroker and gives a big boost to the US investment bank #39;s UK presence.,2
58,"Microsoft warns of 22 new security flaws The goal now is to ""guess what the criminals are going to attack,"" an exec says. Redmond will focus first on the critical flaws.",3
59,"Reading Sharon #39;s Mind In a much-noted speech last week, Israels Prime Minister Ariel Sharon ostensibly made a dramatic reversal in course. But I am wondering whether to take his shift at face value.",0
60,"A wary sense of relief in Athens ATHENS At the end of the first week of the Olympic Games, security officials are generally pleased, even surprised, by the calm so far, though they caution that a safe opening ceremony and first week may encourage a laxness that could yet give terrorists ",1
61,"India #39;s  #39;most wanted #39; killed in gun battle A bandit who killed more than 100 people and kidnapped a film star has been shot dead by police in India. Koose Muniswamy Veerappan, who some considered a Robin Hood for his distribution of money, died in a gun fight on his way to the doctors.",0
62,"US Forces Bomb Iraq's Falluja, Seize Zarqawi Aide  FALLUJA, Iraq (Reuters) - U.S. planes bombed targets in  Iraq's rebel-held city of Falluja, killing two people, and the  U.S. military said it had captured a lieutenant of its  deadliest Islamist enemy in Iraq in a raid early on Saturday.",0
63,"Microsoft Puts Fingerprint Readers Into Hardware  SEATTLE (Reuters) - Microsoft Corp. &lt;A HREF=""http://www.reuters.co.uk/financeQuoteLookup.jhtml?ticker=MSFT.O qtype=sym infotype=info qcat=news""&gt;MSFT.O&lt;/A&gt; on Wednesday  unveiled a new array of keyboard and mice, with some featuring  built-in fingerprint readers to make it easier for users to log  on to personal computers and Web sites.",3
64,"Linear Technology charts CEO transition Integrated circuits maker Linear Technology Corp., of Milpitas, says Bob Swanson will give up the title of chief executive officer after 23 years, shifting to a new role as executive chairman.",3
65,Coyotes Juggle Centers The Phoenix Coyotes signed free-agent center Petr Nedved and traded center Daymond Langkow to the Calgary Flames for two players on Thursday.,1
66,"Iran says to fulfill uranium suspension as scheduled: spokesman Iran said on Sunday that it would fulfill its commitment of suspending uranium enrichment activities on Monday, denying the allegation that it was still producing uranium feedstuff for enrichment.",0
67,Mediacom Taps Sprint to Provide VoIP Mediacom Communications says it will launch VoIP telephone service in selected markets in the first half of 2005 in partnership with Sprint.,3
68,"Sirius Names Karmazin CEO, Shares Jump (Reuters) Reuters - Sirius Satellite Radio Inc.\ on Thursday named former Viacom Inc. President Mel\Karmazin as its chief executive, in the latest migration of a\mainstream radio heavyweight to the fledgling satellite\industry.",2
69,"Aid to Palestinians Approved President Bush  approved Wednesday \$20 million in direct aid to the Palestinian Authority, as part of a broader White House strategy to pursue peace in the Middle East following Yasser Arafat's death.",0
70,"Juninho tries on Larsson #39;s No 7 shirt For a small man, he looks as though he will wear it lightly. No sooner had Juninho completed his protracted move from Middlsbrough to Celtic - he has signed a two-year contract, subject to ",1
71,Vegas-based Primaris in deal with Boeing A Las Vegas-based startup air carrier plans to be the US launch customer for Boeing Co. #39;s new 7E7  quot;Dreamliner quot; twin-engine jet.,2
72,"Karzai leading in Afghanistan elections Early returns Friday from Afghanistan #39;s first presidential election put incumbent President Hamid Karzai in the lead, the Financial Times reported Friday.",0
73,"Blast at Egyptian Resort Kills at Least 20 A massive explosion tore off the front of a seaside hotel in the Egyptian resort of Taba late Thursday, killing at least 20 people and injuring more than 100 in what appeared to be a terrorist attack aimed at Israeli tourists, officials said.",0
74,"Vatican Set to Beatify Gibson #39;s Passionate Muse Pope John Paul II on Sunday will beatify Sister Anne Catherine Emmerich, a sickly 19th century nun who claimed to have visions that gave her courtside seats at Jesus #39; execution.",0
75,"'Che's Trail' in Bolivia Traces Guevara's Demise &lt;p&gt;&lt;/p&gt;&lt;p&gt; LA PAZ, Bolivia (Reuters) - Tourists and political pilgrimscan now follow ""Che's trail"" in Bolivia, which traces ErnestoGuevara's fatal attempt to export the Cuban revolution to oneof Latin America's poorest countries.&lt;/p&gt;",0
76,"Filmmaker #39;s Murder May Spell End of Dutch Tolerance Dutch police have apprehended eight suspects (all young Moroccans and Algerians) in the killing of filmmaker Theo Van Gogh (yes, he is related) on Tuesday morning outside his flat in Amsterdam, an act which horrified Dutch citizens.",0
77,Broadband offers magical journey A 'magic carpet' to take children around the world is one of the projects that has won a community net award.,3
78,"Chamber sues SEC over board rule WASHINGTON (CBS.MW) -- The US Chamber of Commerce filed a lawsuit Thursday against the Securities and Exchange Commission, seeking to overturn a rule requiring mutual funds #39; boards of directors to have independent chairs.",2
79,"Hamm Goes for More Gold Amid Controversy Despite the controversy surrounding his gold medal in the all-around, Paul Hamm has a chance to win two more golds Sunday. The American will compete in the finals of the pommel ",1
80,Russia #39;s Yukos oil giant still faces tax woes MOSCOW : Russia #39;s justice ministry said that Yukos had paid three-quarters of its 2000 tax bill but still had billions more in outstanding debts that analysts said would require sales of its assets.,2
81,UK bankers may face US trial over Enron Three British ex-bankers are to appeal a decision by a judge that they could be extradited to the United States to face trial over alleged fraud charges relating to disgraced energy group Enron.,2
82,"SGI supercomputer: Two records in one day The public record has been eclipsed by a faster result yet to be announced, CNET News.com has learned.",3
83,"Netscape aims beyond Firefox com November 17, 2004, 5:02 PM PT. This priority retains its ranking at number five as more and more companies deploy Web services to share business logic, data and processes with each other and with clients.",3
84,"AOL to give away McAfee to members America Online Inc is bundling antivirus software from McAfee Inc into version 9.0 Security Edition of its online service, providing blanket virus blocking coverage for its approximately 23 million paying subscribers.",3
85,"New Microsoft set-top box ready to roll Though MSN TV2 is the successor to the original WebTV devices, the new box is a vast departure from its predecessors.",3
86,"Into the abyss Where freedom was promised, chaos and carnage now reign. A suicide bomber in a car blows himself up in the heart of Baghdad killing 13 people.",0
87,"Eastman Kodak raises annual sales forecasts for digital products Eastman Kodak Co., in the midst of its strengthening its position in digital imaging, said Wednesday it expects sales of digital products and services to increase by about 36 per cent between 2003 and 2007.",2
88,"Update 1: Camden Property to Buy Summit Properties Camden Property Trust has agreed to buy Summit Properties Inc., a rival owner of upscale apartments, for about \$1.1 billion. The two real-estate investment trusts Monday said the merger creates the country #39;s ",2
89,"6 Killed in Crash of British Train A high-speed passenger train ploughed into a car at a level crossing and derailed here on Saturday, killing six people and injuring dozens, 11 of them seriously.",0
90,France expels more students over hijab French schools have expelled three more students for flouting the controversial ban on Islamic headscarves. The latest expulsions brought to five the total number of girls so far expelled under the new secularity ,0
91,Racist chants BRITISH Sports Minister Richard Caborn has hit out at the racist abuse suffered by black England players during their friendly match.,1
92,"Oil Holds Firm, Heating Fuel Woes Persist  LONDON (Reuters) - Oil prices held strong above \$53 a  barrel on Wednesday as worries over a winter supply crunch  countered expectations that high fuel costs would curb growth  in petroleum demand next year.",2
93,"In Pakistan, dead men tell no tales Pakistan #39;s establishment recently labeled Amjad Farooqi as al-Qaeda #39;s mastermind in the country. However, Asia Times Online contacts vigorously dispute this claim ... and they suspect ",0
94,"An Empire Built of Glass Designer James Carpenter understands the poetics of light and material, working with architects to enhance public places. Fourth in a series profiling this year's MacArthur 'genius award' winners. By Kari Lynn Dean.",3
95,Blast at Russian mine kills 13 in industry's latest disaster (AFP) AFP - A blast at a Siberian mine killed 13 men in the latest disaster to strike Russia's accident-prone industry that has been chronically short of funds following the Soviet collapse.,0
96,"CalPERS, other big institutions, lean hard on Disney The California Public Employees #39; Retirement System and three other heavyweight institutions are turning up the heat on The Walt Disney Co.",2
97,"Straw welcomes Israeli poll pledge The foreign secretary, Jack Straw, today welcomed Israel #39;s announcement that it would allow international observers to monitor forthcoming Palestinian presidential elections.",0
98,"Human chips more than skin-deep Better health care and fraud protection may sound good, but are they worth the potential privacy trade-offs?",3
99,Arab ministers avoid UN resolution on Lebanon Arab foreign ministers agreed on Tuesday to avoid a position on United Nations intervention in the Syrian-Lebanese relationship after Syria and Jordan disagreed on the right approach.,0
100,Bills Backup QB Out 4-To-6 Weeks (Reuters) Reuters - Buffalo Bills backup\quarterback Travis Brown will not be out for the season as\initially feared.,1
101,"PM asks whats the way out? General says I will get back NEW YORK, SEPTEMBER 24: At their first meeting here this morning, Prime Minister Manmohan Singh popped the question to Pakistan President Pervez Musharraf.",0
102,"Iran Wants OPEC to Return to Quotas  TEHRAN (Reuters) - Iran on Saturday reiterated its call for  OPEC to pull supply back down to official quota levels and  mapped out a way to fund a long-promised production hike, a  newspaper reported.",2
103,"Iraqi envoy backs raid on Fallujah An assault on Fallujah was Iraq #39;s  quot;least damaging choice quot; for providing security for civilians in the rebel-held city, Baghdad #39;s UN ambassador ",0
104,"Japan Plans to Launch Spy Satellites (AP) AP - A Japanese government panel has approved plans to send two spy satellites into Earth's orbit beginning next year, a media report said Wednesday.",3
105,"Court Urged to Hear File-Sharing Case (AP) AP - A disparate group made up of dozens of state attorneys general, labor unions, retailers, professional sports leagues and others urged the U.S. Supreme Court on Monday to hear a claim brought by the recording and film industries against two Internet file-sharing firms.",3
106,Wall Street Headed for Morning Rally US stock futures predict that Wall Street will open sharply higher this morning on expectations that President Bush will likely win the election.,2
107,"Ganguly waiting on appeal London - Indian captain Sourav Ganguly #39;s appeal against a two-match ban will be heard by a New Zealand lawyer within seven days, the International Cricket Council said on Tuesday.",1
108,"Pandas Face Years Before Next Favorite Solid Meal (Reuters) Reuters - A shortage of the staple food of\China's giant panda will leave 19 of the rare animals\scrounging to keep hunger at bay for as long as a decade in a\reserve in the mountainous southwest, Xinhua news agency said\on Thursday.",3
109,AdWatch: New Bush Ad (AP) AP - Details of a new television ad from President Bush to begin airing Tuesday:,0
110,"Italy shocked by hostage killing, but won #39;t bow to Iraq  #39; &lt;b&gt;...&lt;/b&gt; ROME : Italy was in shock at the killing of a kidnapped journalist in Iraq, described by Prime Minister Silvio Berlusconi as a return  quot;to the dark times of barbarism, quot; but he pledged Italian troops would stay.",0
111,Big East out of WAC #39;s league The WAC is better than the Big East. I became convinced of that this past weekend after watching Boise State dismantle Oregon State and Fresno State pummel then-No.,1
112,"Command  amp; Conquer: Red Alert 3 en camino A las puertas del lanzamiento de El Seor de los Anillos: The Battle for Middle-Earth, algunos fans del clsico C amp;C han recibido un email de Mark Skaggs, productor ejecutivo de Electronic Arts, confirmndoles que ya estn manos a la obra con un nuevo ",3
113,"Nasdaq Chief Sees Changes Ahead NEW YORK - Nasdaq plans to list itself on its own National Market by the end of the year, President and Chief Executive Robert Greifeld said Wednesday.",2
114,Gazprom-Rosneft deal hits rough patch (AFP) AFP - The absorption of Russian state-owned oil company Rosneft by the gas giant Gazprom appeared to run into trouble amid press reports of furious infighting among top Kremlin officials over the deal.,0
115,Skype available for Mac OS X Skype Technologies SA has launched the beta version of Skype for Mac OS X. The software can be downloaded for free and is available immediately.,3
116,You know the Bears got jobbed when Pac-10 rivals come to their &lt;b&gt;...&lt;/b&gt;  quot;Looks like you were right on about Cal getting passed over for the Rose Bowl bid. I don #39;t think it would have made a bit of difference if Cal had won by 110 points instead of just 10.,1
117,"Nokia Brews Up Its Own Content-Distribution System The handset giant has announced an operator-brandable end-to-end content distribution system in an effort to satisfy the needs of developers, carriers and end users.",3
118,Report: Blair Warned of Iraq Chaos in '02 (AP) AP - The government was accused Saturday of misleading the British public over plans for postwar Iraq after a newspaper reported that Prime Minister Tony Blair was warned a year before the invasion that postwar stability would be difficult.,0
119,Chelsea Routs Charlton in Premier League (AP) AP - Chelsea routed Charlton 4-0 on Saturday behind two goals by defender John Terry to open a five-point lead at the top of the Premier League.,1
120,"No Road To Ruin What #39;s new in this debate is that interest rates have begun to climb: while 30-year mortgages are still below 6 percent, economists predict they #39;ll be at 6.25 by December and higher next year.",2
121,"Hester: Many happy returns The Suncoast grad turns a punt into a score for the third time this season. MIAMI - Whenever Devin Hester touches the ball, he not only knows a big play is possible, he expects it.",1
122,"Bush Offers Sympathy at Russian Embassy (AP) AP - President Bush made an unexpected visit to the Russian Embassy on Sunday where he signed a book of condolences for victims of the school hostage seizure and expressed outrage at the actions of ""evil terrorists.""",0
123,"Storms, late holiday contributed to largest drop in 3 years WASHINGTON (CBS.MW) - The number of workers filing for state unemployment benefits plunged by 44,000 in the week ending Sept. 4 to 319,000, the Labor Department said Thursday.",2
124,"New Technique to Advance Semiconductor Performance By MATTHEW FORDAHL    (AP) -- In an advance that could lead to lighter spacecraft and smarter cars, researchers have developed a new technique for producing a high-quality semiconductor that's much more resistant to extreme conditions than the silicon found in most of today's electronics.    Devices built with the rugged material would not require cooling and other protections that add size, weight and cost to traditional silicon electronics in power systems, jet engines, rockets, wireless transmitters and other equipment exposed to harsh environments...",3
125,"Japan braces after deadly quake JAPAN was on edge last night after its worst earthquake in almost a decade killed at least 20 people, including three children, and injured 1500.",0
126,A Lesson in Linguistics From the Mouths of Babes What slips of the tongue say about a child's development.,3
127,Serge Savard Pleads Not Guilty to DUI (AP) AP - Hockey Hall of Famer Serge Savard pleaded not guilty Monday to two charges of drunken driving.,1
128,"Pace of Mid-Atlantic Factories Moderates NEW YORK (Reuters) - Factories in the US Mid-Atlantic region slowed a little in August but remained at solid levels, although new orders fell sharply in a warning sign for future growth, a report showed on Thursday. ",2
129,"Bush quietly signs corporate tax-cut bill WASHINGTON - Without fanfare, President Bush Friday signed into law a bill containing nearly \$140 billion in corporate tax cuts denounced by critics on both sides of the aisle as a giveaway to special interests.",2
130,"Court Says Interior Dept. Web Site Can Stay Online The U.S. Interior Department can keep its computers connected to the Internet despite the fact that hackers could manipulate royalty payments owed to American Indians for use of their land, an appeals court ruled Friday.",3
131,"IBM's Conference Falls Short on Questions (AP) AP - International Business Machines Corp. took the ""conference"" out of conference call this week when it invited investors to ""a discussion"" about the sale of its personal computer business to China's largest PC maker.",3
132,Bomb explodes in north-east India At least two people are killed and more than 30 injured in a bomb explosion in the north-east Indian state of Assam.,0
133,"The future of Marsh depends on Spitzer NEW YORK Marsh  amp; McLennan has a good chance of surviving despite the departure of Jeffrey Greenberg, its chief executive, as long as its outside directors understand that removing Greenberg is not the last but the first change they will have to make.",2
134,"BusinessWeek Chooses Outsider as Editor in Chief BusinessWeek, reaching outside its own ranks, announced yesterday that it had selected Stephen J. Adler, a senior editor of The Wall Street Journal, as its next editor in chief.",2
135,Murdoch: Bolsters Defense Against News Corp. Takeover Take two and don #39;t call me in the morning: Rupert Murdoch #39;s News Corp. (nyse: NWS.WI - news - people ) prescribed a  quot;poison pill quot; defense strategy today to stave off a potential takeover from long-time ally John Malone.,2
136,Intel and AMD battle for dual-core chips Advanced Micro Devices (AMD) showcased its dual-core x86 Opteron microprocessor this week. The upcoming dual-core CPU for the enterprise enviornment is expected to debut in mid-2005 and was housed in a HP ProLiant DL585 server.,3
137,"Ode to ancient Games, nudity and all THE OLYMPICS may have returned to the land of their birth, but even as these games wind down, the stadiums in Athens remain eerily empty.",1
138,"New Program Turns Consumers Into Spam Vigilantes Lycos Europe debuted a new weapon in the war against unwanted e-mail Tuesday, by launching a screensaver designed to overload the Web sites featured in spam messages.",3
139,"Oil teases \$51 a barrel as hurricanes hit output London - Oil prices roared to new record highs yesterday, within a whisker of \$51 a barrel, on worries about supplies from the Gulf of Mexico, where almost 30 percent of production remains shut.",2
140,Blair Urges End to Trans-Atlantic Rift  LONDON (Reuters) - Britain's Tony Blair will urge Europe  and the United States on Monday to bury the hatchet over Iraq  and focus their energies on global challenges such as lasting  peace between Israelis and Palestinians.,0
141,"Officials Say Sea Turtles Declining (AP) AP - Despite a federal rule changing the type of hooks that longline fishermen may use, the sea turtle population is declining, officials say.",3
142,"Pakistan's PM Says Peace with India Hinges on Kashmir  NEW DELHI (Reuters) - Pakistan Prime Minister Shaukat Aziz  said on Wednesday he remained hopeful that peace could be  achieved with India, but progress on the bitter dispute over  Kashmir represented the key to better ties.",0
143,"Google Buys Digital Mapping Company Google has bought digital map maker Keyhole Corp., extending the search engine leader's bid to fend off rivals with a toolbox that can catalog almost anything in the world.",3
144,"Singh, Els among stars at Duhill ST. ANDREWS, Scotland (Ticker) -- The world #39;s top golfers team up with famous faces from the worlds of film and sport on Thursday for the start of the 2004 Dunhill Links championship.",1
145,Britain #39;s unluckiest punter dies A pensioner who lost out on a near 1m betting jackpot has died hours before he was to be given a share of another winner #39;s windfall.,1
146,"UPDATE 2-Fannie Mae estimates profit fell 9 percent US mortgage finance giant Fannie Mae (FNM.N: Quote, Profile, Research) on Monday estimated its third-quarter profit fell 9 percent, but delayed formally reporting ",2
147,"Gallup Poll Moves Online With Webcast Free daily eight-minute video featuring pollster-in-chief Frank Newport as a stand-up anchor talking about the firm's latest polling data goes online at 6 a.m. Monday through Friday. &lt;FONT face=""verdana,MS Sans Serif,arial,helvetica"" size=""-2""\ color=""#666666""&gt;&lt;B&gt;-Leslie Walker&lt;/b&gt;&lt;/font&gt;",3
148,Judge refuses lower Jackson bail A judge in the Michael Jackson child molestation case refuses to reduce the singer's \$3m (1.67m) bail.,0
149,UK Plans New Laws Against Animal Rights Militants (Reuters) Reuters - Britain proposed new laws on Tuesday to\stop increasingly militant animal rights campaigners from\harassing scientists involved in medical experiments.,3
150,Are You Ready for Election Day? The Internet's chock-full of information and persuasion to help you solidify your vote.  Here's a quick guide.,3
151,"Dixon Carries Wizards Juan Dixon takes advantage of some rare playing time by scoring 15 fourth-quarter points to help the Wizards beat the Hawks, 104-101.",1
